Year,Prime Rate,Fed Funds Rate,Money M1,Money M2,Gross domestic product,Personal consumption expenditur,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investme,Fixed investment,Nonresidential,Structures,Equipment and software,Residential,Exports,Goods_1,Services_1,Imports,Goods_2,Services_2,Government consumption expendit,Federal,National defense,Nondefense,State and local,Personal income,Less: Contributions for governm,Less: Personal current taxes,Equals: Disposable personal inc,Less: Personal outlays,Personal consumption expendit_1,Equals: Personal saving,"Population (midperiod, thousand"
1975-IV ,7.583333333,5.413333333,286.4333333,1006.966667,4974.458699,3272.705226,1049.992838,217.7492619,902.7934643,2218.523595,530.6017487,544.9177005,308.4735224,248.2880141,144.6955313,273.7269902,250.5670728,168.7826514,80.68093601,266.8021062,202.1340693,68.9770728,1267.76365,500.2565418,352.3272397,149.4423557,771.7487991,4034.074418,266.4422128,460.0336681,3573.750508,3215.011319,3133.4533,358.7391885,216848
1976-I ,6.833333333,4.826666667,290.6333333,1038.966667,5085.674923,3338.430632,1080.723333,228.7114846,920.9635776,2244.394792,583.6997387,567.519801,313.9886288,255.1345327,146.5407574,301.8539059,248.8950516,166.7842238,81.77792268,283.3190552,216.3924425,70.66941183,1271.081308,495.4669372,347.5397257,149.7222135,780.4946402,4091.15697,283.8609684,465.2564507,3625.90052,3275.451336,3195.660285,350.4491834,217314
1976-II ,6.9,5.196666667,295.6,1070.166667,5124.403545,3369.01576,1093.994195,229.8006732,935.3221359,2259.536759,609.1497807,577.2200772,317.944912,254.535502,149.5648801,310.5757389,251.3501929,169.0603559,81.70725152,295.5180103,227.128038,71.59308488,1257.110729,494.4693385,347.2660689,148.6873211,767.0013456,4128.039082,285.1624631,480.0045444,3648.034538,3297.546012,3218.018632,350.4885253,217776
1976-III ,7.086666667,5.283333333,298.6,1098.6,5150.504484,3404.803749,1103.737268,232.3894508,942.4057842,2286.995516,610.861593,583.2451872,324.8039689,257.0228508,153.7264292,305.3030303,258.7529404,172.261548,87.11588006,307.4797711,237.1228845,73.27903239,1250.612565,493.0424856,346.4131482,148.1277026,761.7681219,4179.932735,286.4349776,492.7130045,3687.5,3337.443946,3257.847534,350.0560538,218338
1976-IV ,6.54,4.873333333,303.9333333,1138.4,5192.747513,3449.349751,1117.129584,236.1950392,952.3343926,2318.515797,618.7973129,613.2311281,331.2442578,257.686899,158.1535776,344.2885324,261.412734,173.7857732,88.46314908,317.8417238,245.5833288,74.77887966,1249.719614,494.3307937,345.1193714,150.6669843,759.399764,4211.512496,286.0213276,502.6039514,3709.184095,3376.043647,3296.134028,333.140448,218917
1977-I ,6.25,4.66,311.2333333,1177.1,5253.24517,3489.333975,1129.512504,244.9811502,951.7751266,2346.350602,649.0848024,635.5224002,344.1627302,256.7692024,167.7521216,354.78008,257.3060684,170.355598,88.08974791,332.9306961,259.1110175,75.84336239,1260.760289,498.5320023,348.8888231,151.1357018,766.3279155,4227.256714,296.197935,510.5552695,3716.430449,3419.961519,3337.849923,296.7399257,219427
1977-II ,6.47,5.156666667,317.3333333,1208.8,5348.483636,3508.522727,1137.741787,250.7654177,951.6064399,2355.247819,692.20417,670.7597544,354.1251305,266.3385684,171.8197324,395.2862906,264.1583318,174.8212999,90.82813891,336.081982,261.2462058,77.30892543,1273.936582,506.7988751,354.29273,154.0229885,770.8821233,4283.961484,299.0050946,520.925022,3763.036462,3443.493105,3360.006402,319.5433571,219956
1977-III ,6.903333333,5.82,322.3333333,1236.633333,5435.554737,3541.952478,1146.921411,254.4829667,956.3026386,2380.952381,723.6703704,679.4540904,361.4570216,270.3563467,175.9725839,393.9165582,266.126652,176.469765,90.87257757,331.5087363,258.1210406,75.35775906,1276.146789,509.5706903,354.5004369,156.5714286,770.1164129,4345.812834,300.7182509,521.4554448,3824.357389,3481.280749,3396.300876,343.0766397,220573
1977-IV ,7.673333333,6.513333333,328.6333333,1262.233333,5461.036945,3595.174335,1171.316535,259.7957361,976.8246282,2403.819918,722.6950621,691.6349301,373.5105408,272.0593332,184.0715427,388.707854,257.5191344,169.2071039,90.6917712,336.2339643,261.824748,76.39836289,1271.880041,504.4717719,344.5661331,161.3128297,771.3593912,4429.783711,301.9248681,538.3938735,3891.389838,3525.043982,3438.631895,366.3458553,221201
1978-I ,7.976666667,6.756666667,335.5666667,1285.8,5469.839654,3616.166454,1164.62444,252.935171,981.0659506,2441.946062,729.9484915,697.2508075,377.1311525,271.4256633,186.9189652,390.8268734,263.4569522,171.331451,95.90467656,358.7499338,279.8823278,80.48732753,1273.966138,506.2695491,346.6526269,161.0431585,771.4949651,4454.82311,321.2013235,538.8139476,3916.009163,3548.231102,3459.149911,367.5235429,221719
